
========TARGET AND MODEL ARGUMENT HISTOGRAMS========
POTENTIAL AA

arg         target      model       
4.3500e+00  2.4833e+01  2.4671e+01  
4.6500e+00  2.2483e+01  2.1634e+01  
4.9500e+00  2.0083e+01  2.0435e+01  
5.2500e+00  1.9567e+01  1.8050e+01  
5.5500e+00  1.8000e+01  1.7923e+01  
5.8500e+00  1.7500e+01  1.6866e+01  
6.1500e+00  1.6333e+01  1.6333e+01  
6.4500e+00  1.5950e+01  1.5599e+01  
6.7500e+00  1.5250e+01  1.5091e+01  
7.0500e+00  1.5133e+01  1.5053e+01  
7.3500e+00  1.4733e+01  1.4469e+01  
7.6500e+00  1.5133e+01  1.4457e+01  
7.9500e+00  1.4933e+01  1.5247e+01  
8.2500e+00  1.5533e+01  1.4590e+01  
8.5500e+00  1.5783e+01  1.5573e+01  
8.8500e+00  1.6167e+01  1.5903e+01  
9.1500e+00  1.7133e+01  1.6194e+01  
9.4500e+00  1.8850e+01  1.8029e+01  
9.7500e+00  1.9417e+01  1.9000e+01  
1.0050e+01  1.9733e+01  2.0598e+01  
1.0350e+01  2.0917e+01  2.1830e+01  
1.0650e+01  2.3583e+01  2.3555e+01  
1.0950e+01  2.6583e+01  2.5465e+01  
1.1250e+01  2.9283e+01  2.8931e+01  
1.1550e+01  3.2717e+01  3.1321e+01  
1.1850e+01  3.3800e+01  3.5101e+01  
1.2150e+01  3.9233e+01  3.9245e+01  
1.2450e+01  4.3700e+01  4.5615e+01  
1.2750e+01  5.0150e+01  4.7996e+01  
1.3050e+01  5.5417e+01  5.3824e+01  
1.3350e+01  6.1250e+01  5.9206e+01  
1.3650e+01  6.5283e+01  6.6401e+01  
1.3950e+01  7.4950e+01  7.3535e+01  
1.4250e+01  8.4384e+01  8.2249e+01  
1.4550e+01  9.2584e+01  8.9835e+01  
1.4850e+01  1.0108e+02  9.9167e+01  
